activity_nr,estab_name,site_city,site_state,site_zip,naics_code,trade,open_date
349006023,DSM CONSTRUCTION CORP,RYE,NY,10580,236118,,2026-06-18
349006247,LASER ELECTRIC SERVICES LLC,RYE,NY,10580,238210,,2026-06-18
349004119,SMART SOLUTIONS,LINDEN,NJ,07036,238160,Roofing,2026-06-17
349004218,MJ AND SONS CONSTRUCTION CORP.,MONTCLAIR,NJ,07043,238160,Roofing,2026-06-17
349004648,PJ FITZPATRICK,MONTCLAIR,NJ,07043,238160,Roofing,2026-06-17
349002113,"HIGHRISE SAFETY SYSTEMS, INC.",HOBOKEN,NJ,07030,236220,Commercial Bldg,2026-06-16
349000174,LUMAJE CONSTRUCTION LLC,MORRISTOWN,NJ,07960,238130,Framing,2026-06-16
349006338,XF RENOVATION LLC,BROOKLYN,NY,11211,238350,,2026-06-15
349005736,SEEIT SIGNS,BROOKLYN,NY,11211,238990,,2026-06-15
349006171,SEEIT SIGNS,BROOKLYN,NY,11211,238990,,2026-06-15
349006213,XF RENOVATION LLC,BROOKLYN,NY,11211,238350,,2026-06-15
348998493,SSD CONSTRUCTION SERVICES INC.,BROOKLYN,NY,11211,238110,,2026-06-15
348998527,SSD CONSTRUCTION SERVICES INC.,BROOKLYN,NY,11211,238110,,2026-06-15
348998840,ROSTRIM CONSTRUCTION SERVICES INC,YONKERS,NY,10710,238310,,2026-06-15
348996059,PROCRAFT DESIGN & CONSTRUCTION CORP.,WESTBURY,NY,11590,236118,,2026-06-12
348993643,ADAM'S EUROPEAN CONTRACTING INC.,BROOKLYN,NY,11231,236220,Commercial Bldg,2026-06-11
348994104,ADAM'S EUROPEAN CONTRACTING INC.,BROOKLYN,NY,11231,236220,Commercial Bldg,2026-06-11
348991282,INNOVATE DEVELOP LLC,SLEEPY HOLLOW,NY,10591,236220,Commercial Bldg,2026-06-11
348990698,CITY OF ELIZABETH DEPARTMENT OF PUBLIC WORKS - CITY YARD,ELIZABETH,NJ,07206,237310,Highway/Bridge,2026-06-11
348993163,LMLJ CONTRACTORS INC,BROOKLYN,NY,11238,236118,,2026-06-10
348987595,ALAN MANUEL LOPEZ VILLANUEVA,WEST NEW YORK,NJ,07093,238310,,2026-06-10
348988312,ALLIED ROOFING SOLUTIONS,CLIFTON,NJ,07011,238160,Roofing,2026-06-10
348988395,CCL HOME IMPROVEMENT LLC,CLIFTON,NJ,07013,238160,Roofing,2026-06-10
348988536,ROYAL K CONSTRUCTION CORP,YONKERS,NY,10705,238910,,2026-06-10
348989765,LMLJ CONTRACTORS INC,BROOKLYN,NY,11238,236118,,2026-06-10
348986423,"J.M. HALEY, CORP",FARMINGDALE,NY,11735,238220,,2026-06-10
348996745,"LIBERTY HOME IMPROVEMENT, INC.",MONTCLAIR,NJ,07043,238160,Roofing,2026-06-10
348990086,J P KEMPF CO,CLIFTON,NJ,07011,238220,,2026-06-09
348987389,THE GALEANO COMPANY LLC,CLIFTON,NJ,07011,236116,,2026-06-09
348986639,STORM GUARD ROOFING,BAYONNE,NJ,07002,238160,Roofing,2026-06-09
348982687,"ANGELO MASTER MASONRY, LLC.",PARSIPPANY,NJ,07054,238140,Masonry,2026-06-08
348981705,ABSOLUTE Q CONSTRUCTION LLC,HO HO KUS,NJ,07423,238160,Roofing,2026-06-08
348981424,ON STAR MANAGEMENT LLC,FAR ROCKAWAY,NY,11691,236220,Commercial Bldg,2026-06-05
348981507,SR ELECTRIC,FAR ROCKAWAY,NY,11691,238210,,2026-06-05
