activity_nr,citation_id,standard,viol_type,issuance_date,current_penalty,initial_penalty
348917121,01001,19260501 B13,S,2026-05-05,3724,4965
348917006,01001,19260501 B13,S,2026-05-15,4965,4965
348917006,01002,19261053 B22,S,2026-05-15,4965,4965
348908997,01001,19261053 B01,R,2026-05-08,11916,11916
348908997,02001,19260501 B13,W,2026-05-08,39723,39723
348904376,01001,19100178 M02,O,2026-05-18,4965,4965
348904236,01001,19100178 L01 I,O,2026-05-18,4965,4965
348893959,01001,19260501 B13,S,2026-05-01,4965,4965
348887621,01001,19260501 B13,S,2026-05-07,2700,4965
348893488,01001,12 NYCRR PART 800.6(H),S,2026-05-18,0,0
348893488,01002,19100147 C01,S,2026-05-18,0,0
348893488,01003,19100244 A01 II,S,2026-05-18,0,0
348893488,01004,19100303 B02,S,2026-05-18,0,0
348893488,01005,19100303 F02,S,2026-05-18,0,0
348893488,01006,19100303 G01 II,S,2026-05-18,0,0
348893488,01007,19100305 J01 I,S,2026-05-18,0,0
348893488,02001,12 NYCRR PART 801.33(A),O,2026-05-18,0,0
348893488,02002,19101200 H01,O,2026-05-18,0,0
348890229,01001,19260501 B13,S,2026-05-07,4965,4965
348885286,01001,19260451 G01,S,2026-04-21,2979,4965
348881327,02001,19260501 B01,W,2026-05-18,33103,33103
348866443,01001,19260501 B13,S,2026-05-07,4965,4965
348878588,01001,19260501 B13,S,2026-04-29,3972,3972
348858689,01001,19100178 A04,S,2026-05-18,2837,2837
348858689,01002,19100178 M05 I,S,2026-05-18,4256,4256
348858739,01001,19100110 E04 III,S,2026-05-07,1809,1809
348858739,01002,19100178 L01 I,S,2026-05-07,3618,3618
348879537,01001,19040039 A02,O,2026-04-30,0,8276
348850116,01001,19260453 B02 V,S,2026-04-08,3192,4256
348844119,01001,19260451 B01,S,2026-05-07,4965,4965
348844119,01002,19260451 G01,S,2026-05-07,4965,4965
348844119,01003,19260452 C02,S,2026-05-07,4965,4965
348843962,01001,19100146 C01,S,2026-04-09,7000,7000
348843962,01002,19100147 C04 I,S,2026-04-09,7000,7000
348843962,01003,19100212 A03 II,S,2026-04-09,7000,7000
348843962,01004,N.J.S.A. 34:6A-33(A),S,2026-04-09,7000,7000
348843962,02001,19040029 A,O,2026-04-09,1000,1000
348843962,02002,19040029 A,O,2026-04-09,1000,1000
348843962,02003,19040029 A,O,2026-04-09,1000,1000
348843962,02004,19100132 D01,O,2026-04-09,1000,1000
348843962,02005,19101200 E01,O,2026-04-09,1000,1000
348852757,01001,19260501 B01,S,2026-04-23,5958,5958
348837824,01001,19260102 A01,R,2026-04-23,29790,29790
348837824,01002,19260501 B13,R,2026-04-23,29790,29790
348837824,01003,19260503 A02,R,2026-04-23,29790,29790
348837923,01001,19260501 B01,S,2026-04-23,3000,4965
348838350,01001,19260501 B13,S,2026-04-23,4965,4965
348834565,01001,19100022 A03,S,2026-04-03,6300,6300
348834565,01002A,19100147 C04 II,S,2026-04-03,6300,6300
348834565,01002B,19100147 C06 I,S,2026-04-03,0,0
348914037,01001,19260501 B01,S,2026-05-06,2384,3972
348849753,01001,19260102 A01,S,2026-04-08,2270,2270
348849753,01002,19260451 G01,S,2026-04-08,3972,3972
